"","species.m","animal","class.m","long.m","mass.m","BMR","noct.m","volant.m","fossorial.m","forage.m","BMR.q"
"57","Apodemus_sylvaticus","Apodemus_sylvaticus","Mammalia",-0.971979573417648,-0.987044515271037,0.940854268715196,"nocturnal","nonvolant","semifossorial","terrestrial","good"
"58","Arctictis_binturong","Arctictis_binturong","Mammalia",1.14408898112534,1.31297937597117,-2.50528463777129,"nocturnal","nonvolant","nonfossorial","arboreal","good"
"59","Arctocebus_calabarensis","Arctocebus_calabarensis","Mammalia",0.0813379041676665,-0.105953550795631,-0.203170929334711,"nocturnal","nonvolant","nonfossorial","arboreal","good"
"60","Arctogalidia_trivirgata","Arctogalidia_trivirgata","Mammalia",0.392316651701023,0.690412087780895,-1.13322504730607,"nocturnal","nonvolant","nonfossorial","arboreal","good"
"61","Artibeus_jamaicensis","Artibeus_jamaicensis","Mammalia",0.648362767129867,-0.770403998622002,0.537292583649047,"nocturnal","volant","nonfossorial","volant","good"
"62","Atelerix_albiventris","Atelerix_albiventris","Mammalia",-0.109631945504573,0.137838176103971,-0.933472105488638,"nocturnal","nonvolant","semifossorial","terrestrial","good"
"63","Baiomys_taylori","Baiomys_taylori","Mammalia",-1.91221142562743,-1.38135569290316,1.03697116680894,"crepuscular","nonvolant","nonfossorial","terrestrial","good"
"64","Bassariscus_sumichrasti","Bassariscus_sumichrasti","Mammalia",0.972825898191096,0.353781569278178,-0.487053881460151,"nocturnal","nonvolant","nonfossorial","arboreal","good"
"65","Bettongia_penicillata","Bettongia_penicillata","Mammalia",0.617749939523555,0.541450710317178,-0.442780123656008,"nocturnal","nonvolant","semifossorial","terrestrial","good"
"66","Blarina_brevicauda","Blarina_brevicauda","Mammalia",-2.50178023789217,-1.01645092226524,1.28995197723288,"cathemeral","nonvolant","semifossorial","terrestrial","good"
"67","Burramys_parvus","Burramys_parvus","Mammalia",-0.0350486434041453,-0.746802419473009,0.084136130189324,"nocturnal","nonvolant","semifossorial","semiarboreal","good"
"68","Callimico_goeldii","Callimico_goeldii","Mammalia",0.859465481998725,0.176178371903721,-0.476227075002817,"diurnal","nonvolant","nonfossorial","semiarboreal","good"
"69","Callithrix_jacchus","Callithrix_jacchus","Mammalia",0.898242596090668,-0.109249781646832,-0.643036613545968,"diurnal","nonvolant","nonfossorial","arboreal","good"
"70","Callithrix_pygmaea","Callithrix_pygmaea","Mammalia",0.602198394457668,-0.374415028448576,0.217465409719566,"diurnal","nonvolant","nonfossorial","arboreal","good"
"71","Caluromys_derbianus","Caluromys_derbianus","Mammalia",-0.502649113898986,-0.0148155335549773,-0.330613934364369,"nocturnal","nonvolant","nonfossorial","arboreal","good"
"72","Camelus_dromedarius","Camelus_dromedarius","Mammalia",1.21759480588636,2.62362848911537,-2.25695754216662,"diurnal","nonvolant","nonfossorial","terrestrial","good"
"73","Canis_latrans","Canis_latrans","Mammalia",0.83302737906032,1.34180858887806,-1.1578742225709,"nocturnal","nonvolant","semifossorial","terrestrial","good"
"74","Canis_lupus","Canis_lupus","Mammalia",0.750700359004803,1.59818861451691,-1.26032675764194,"nocturnal","nonvolant","semifossorial","terrestrial","good"
"75","Canis_mesomelas","Canis_mesomelas","Mammalia",0.445519742750537,1.24749383467603,-0.500297357161707,"cathemeral","nonvolant","nonfossorial","terrestrial","good"
"76","Cannomys_badius","Cannomys_badius","Mammalia",-1.36738631606062,0.23422659880866,-0.476976533454228,"crepuscular","nonvolant","semifossorial","terrestrial","good"
"77","Capreolus_capreolus","Capreolus_capreolus","Mammalia",0.513558147365813,1.52248029380451,-0.743389389390979,"crepuscular","nonvolant","nonfossorial","terrestrial","good"
"78","Capromys_pilorides","Capromys_pilorides","Mammalia",0.168172991992295,0.959731266985056,-1.32950792225306,"diurnal","nonvolant","nonfossorial","arboreal","good"
